ID_NO,INTERNAL_SCORE,ID_DECISION,CHANNEL,STORE,APPLICATION_TYPE,CONSULTATION_ID,FLAG_HIT,FICO_SCORE,DATE_OF_BIRTH,RESIDENCE,MARITAL_STATUS,SEX_FLAG,DEPENDENDENTS_NO,UNDERWRITERïS_NAME_CREDIT,ACCOUNT_TYPE_CREDIT,RESPONSIBILITY_TYPE_CREDIT,CREDIT_TYPE,Source,IMPUGNATED_REGISTRY,UNDERWRITERïS_NAME_CONSULTATION,ACCOUNT_TYPE_CONSULTATION,RESPONSIBILITY_TYPE_CONSULTATION,AMOUNT_APPLIED_FOR,Paid/Not Paid
01331CF8000017A0,186,INMEDIATO,1,5839,2.01708E+25,315912109,1,697,01/07/1973,5,,,0,BANCO AZTECA,Grupo Solidario,UNERFORSCHT,Pagos Fijos,Banco Azteca,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116CF000054EB,186,INMEDIATO,1,5839,2.01709E+25,321352351,1,730,30/03/1968,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116CF00004F48,171,INVESTIGACIàN,1,5839,2.0171E+25,328673783,0,0,15/03/1973,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010114BA0000D6F2,153,INMEDIATO,1,5839,2.0171E+25,329282285,1,680,09/06/1990,5,,F,0,BANCOS,Pr‚stamo Personal,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116CF000059EA,185,INVESTIGACIàN,1,5839,2.0171E+25,333507100,0,497,26/12/1974,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
012718B5000039F7,112,INVESTIGACIàN,1,5839,2.01711E+25,335126023,0,0,29/11/1996,5,,M,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
010116CF000082BD,142,INVESTIGACIàN,1,5839,2.01711E+25,337003158,0,0,23/04/1994,5,,M,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010100B90000FBB0,139,INVESTIGACIàN,1,5839,2.01712E+25,346999471,1,585,30/01/1979,5,,,0,COMUNICACIONES,L¡nea de Cr‚dito,Individual,Sin L¡mite Preestablecido,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010109E40001EB9E,174,INMEDIATO,1,5839,2.01712E+25,349090745,1,672,01/03/1959,5,,,0,BANCOS,¨Pr‚stamo N¢mina?,UNERFORSCHT,Pagos Fijos,Bur¢ de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
012718B5000030C9,186,INVESTIGACIàN,1,5839,2.01712E+25,350736196,0,0,20/02/1980,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
010116CF00006F32,146,INMEDIATO,1,5839,2.01712E+25,354169096,1,733,09/02/1977,5,,,0,FINANCIERA,Grupo Solidario,Obligado Solidario,Pagos Fijos,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116CF0000848E,156,INMEDIATO,1,5839,2.01801E+25,355975061,0,642,23/10/1971,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116CF000084A6,161,INVESTIGACIàN,1,5839,2.01801E+25,356594620,0,691,10/12/1998,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116CF00007259,105,INVESTIGACIàN,1,5839,2.01801E+25,357489249,0,625,29/09/1998,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116CF00008242,166,INVESTIGACIàN,1,5839,2.01801E+25,363459725,0,0,07/06/1998,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
01011B180000CF82,214,INMEDIATO,1,5839,2.01801E+25,363708155,1,756,17/12/1965,5,,,0,FINANCIERA,Pr‚stamo Personal,UNERFORSCHT,Pagos Fijos,Bur¢ de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,1
010116D3000087A2,93,INVESTIGACIàN,1,5843,2.0171E+25,332618517,1,563,15/10/1986,5,,,0,COMUNICACIONES,L¡nea de Cr‚dito,Individual,Sin L¡mite Preestablecido,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
0101040D00006BAB,73,INVESTIGACIàN,1,5843,2.01711E+25,340169503,1,747,24/02/1949,1,S,F,0,TIENDA COMERCIAL,Tarjeta de Cr‚dito,Individual,Revolvente,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010125BD0000D7E7,91,INVESTIGACIàN,1,5843,2.01712E+25,344731331,1,727,28/07/1987,3,S,F,0,SERVICIOS,Otros,Individual,Sin L¡mite Preestablecido,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
01010D4D00002F3B,144,INVESTIGACIàN,1,5856,2.0171E+25,329087057,0,0,04/09/1973,3,C,F,1,BANCOS,Pr‚stamo Personal,Individual,Pagos Fijos,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116E00000BDAA,169,INMEDIATO,1,5856,2.01711E+25,335674505,1,635,29/10/1960,5,,,0,BANCO AZTECA,Pr‚stamo Personal,UNERFORSCHT,Cr‚dito Prendario,Banco Azteca,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
01010D4D00007BEF,135,INVESTIGACIàN,1,5856,2.01712E+25,351171505,1,512,22/04/1967,5,,,0,FINANCIERA,Grupo Solidario,Obligado Solidario,Pagos Fijos,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116E000010D53,74,INVESTIGACIàN,1,5856,2.01801E+25,355866302,1,623,11/08/1999,5,,,0,BANCOS,Tarjeta de Cr‚dito,Individual,Revolvente,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
1.0119E+14,88,INVESTIGACIàN,1,5869,2.01712E+25,347369633,0,547,29/01/1996,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
